コード,銘柄名,市場,業種,規模,終値,平均売買代金(百万円),テクニカル一致数,候補根拠,株価基準日,取得日時
1952,新日本空調,プライム（内国株式）,建設業,TOPIX Small 1,3230.0,427.642775,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.164930+09:00
1959,クラフティア,プライム（内国株式）,建設業,TOPIX Mid400,8124.0,1293.360615,0,,2026-09-24,2026-09-24T20:36:20.167862+09:00
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,グロース（内国株式）,サービス業,-,720.0,15.919685,3,株価が25日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.173655+09:00
1960,サンテック,スタンダード（内国株式）,建設業,-,1705.0,24.659865,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.177520+09:00
1961,三機工業,プライム（内国株式）,建設業,TOPIX Small 1,2518.0,1093.066375,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.181075+09:00
1963,日揮ホールディングス,プライム（内国株式）,建設業,TOPIX Mid400,2300.0,3415.0604175,1,MACDがプラス,2026-09-24,2026-09-24T20:36:20.184648+09:00
1964,中外炉工業,プライム（内国株式）,建設業,TOPIX Small 2,3905.0,80.545925,0,,2026-09-24,2026-09-24T20:36:20.190232+09:00
1965,テクノ菱和,スタンダード（内国株式）,建設業,-,7160.0,513.30745,3,株価が25日線より上／25日線が75日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.194358+09:00
1967,ヤマト,スタンダード（内国株式）,建設業,-,2144.0,30.6062,4,株価が25日線より上／25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.201780+09:00
1968,太平電業,プライム（内国株式）,建設業,TOPIX Small 1,2551.0,329.37359,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.207176+09:00
1969,高砂熱学工業,プライム（内国株式）,建設業,TOPIX Mid400,4739.0,2176.23598,2,株価が25日線より上／MACDがプラス,2026-09-24,2026-09-24T20:36:20.211361+09:00
196A,ＭＦＳ,グロース（内国株式）,その他金融業,-,320.0,52.73335,3,25日線が75日線より上／MACDがプラス／前日より出来高増加,2026-09-24,2026-09-24T20:36:20.214760+09:00
